# StartTime = 12/07/2024 03:32:48.1376 PM
Time (sec), Vehicle speed (MPH), Control module voltage (V), Engine RPM (RPM), Engine coolant temperature (°F), Ambient air temperature (°F), Engine oil temperature (°F), Absolute load value (%), Actual engine - percent torque (%), Barometric pressure (inHg), Total fuel economy (MPG), Total CO2 (lbs), Instant CO2 rate (lb/mile), Instant fuel economy (MPG), Fuel rate (gal/hr), CO2 flow (lb/min)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.788,0,14.312,867.75,192.2,33.8,186.8,19.60784,12,29.5301,13.56044,17.7146,0,0,0.3251828,0.1062038
1.294,0,14.253,838.75,192.2,33.8,186.8,19.60784,12,29.5301,13.55921,17.71621,0,0,0.3425616,0.1118797
1.718,0,14.253,802.75,192.2,33.8,186.8,19.60784,12,29.5301,13.55794,17.71786,0,0,0.3670126,0.1198653
2.074,0,14.253,788,192.2,33.8,186.8,20.39216,12,29.5301,13.5575,17.71844,0,0,0.2892159,0.0944571
2.570,0,14.253,776.25,192.2,33.8,186.8,20.39216,12,29.5301,13.55698,17.71911,0,0,0.3120078,0.1019009
3.270,0,14.253,765.75,192.2,33.8,186.8,20.39216,12,29.5301,13.55655,17.71968,0,0,0.2803211,0.09155209
4.006,0,14.277,760.75,192.2,33.8,186.8,20,12,29.5301,13.55601,17.72039,0,0,0.2670902,0.08723093
4.516,0,14.233,752.25,192.2,33.8,186.8,19.21569,12,29.5301,13.55504,17.72165,0,0,0.2785154,0.09096237
