# StartTime = 12/08/2024 02:42:21.1452 PM
Time (sec), Vehicle speed (MPH), Control module voltage (V), Engine RPM (RPM), Engine coolant temperature (°F), Ambient air temperature (°F), Engine oil temperature (°F), Absolute load value (%), Actual engine - percent torque (%), Barometric pressure (inHg), Total fuel economy (MPG), Total CO2 (lbs), Instant CO2 rate (lb/mile), Instant fuel economy (MPG), Fuel rate (gal/hr), CO2 flow (lb/min)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.632,0,0,1265.25,0,0,0,23.13725,15,29.2348,18.86294,43.11515,0,0,0.5553596,0.1813789
1.122,0,13.53,1257,116.6,44.6,95,21.17647,16,29.2348,18.86235,43.11651,0,0,0.6341905,0.2071249
1.533,0,13.53,1352.25,116.6,44.6,95,21.17647,15,29.2348,18.86111,43.11933,0,0,0.6554685,0.2140742
1.893,0,13.53,1425.75,116.6,44.6,95,19.60784,14,29.2348,18.86063,43.12043,0,0,0.6129139,0.200176
2.366,0,13.53,1401.5,116.6,44.6,95,21.17647,14,29.2348,18.86003,43.12181,0,0,0.5722063,0.186881
2.713,0,13.53,1398.5,116.6,44.6,95,20.78431,14,29.2348,18.85952,43.12297,0,0,0.6147043,0.2007607
3.122,0,13.53,1395,116.6,44.6,95,19.21569,13,29.2348,18.85892,43.12436,0,0,0.5580168,0.1822468
3.468,0,13.53,1391.75,116.6,44.6,95,20.39216,13,29.2348,18.85845,43.12542,0,0,0.5411711,0.176745
3.908,0,13.53,1361.25,116.6,44.6,95,20.78431,13,29.2348,18.85788,43.12674,0,0,0.6128951,0.2001698
4.270,0,13.53,1346.75,116.6,44.6,95,20.39216,13,29.2348,18.85737,43.1279,0,0,0.5685583,0.1856896
4.742,0,13.53,1324,116.6,44.6,95,20.39216,13,29.2348,18.85682,43.12914,0,0,0.5561256,0.1816291
5.136,0,13.477,1313,116.6,44.6,95,20,13,29.2348,18.85639,43.13014,0,0,0.507358,0.1657017
5.577,0,13.477,1299.25,116.6,44.6,95,20,12,29.2348,18.85573,43.13165,0,0,0.5488894,0.1792658
5.923,0,13.477,1284.5,116.6,44.6,95,18.43137,12,29.2348,18.85528,43.13268,0,0,0.5284786,0.1725997
6.317,0,13.477,1274.25,116.6,44.6,95,20,13,29.2348,18.85473,43.13393,0,0,0.500213,0.1633682
6.664,0,13.477,1273,116.6,44.6,95,20,13,29.2348,18.85427,43.13497,0,0,0.5533499,0.1807226
7.136,0,13.477,1264.5,116.6,44.6,95,21.17647,13,29.2348,18.85378,43.13609,0,0,0.5233442,0.1709228
7.497,0,13.477,1270.5,116.6,44.6,95,20.78431,13,29.2348,18.85325,43.13732,0,0,0.5968426,0.1949272
7.891,0,13.477,1293.5,116.6,44.6,95,20,13,29.2348,18.8527,43.13857,0,0,0.5215731,0.1703444
8.252,0,13.477,1297.5,116.6,44.6,95,20.39216,13,29.2348,18.85223,43.13964,0,0,0.5454487,0.1781421
8.819,0,13.477,1285,116.6,44.6,95,19.60784,12,29.2348,18.85177,43.14071,0,0,0.5162124,0.1685935
9.291,0,13.501,1277.5,118.4,44.6,95,19.60784,12,29.2348,18.85131,43.14175,0,0,0.5312486,0.1735043
9.740,0,13.501,1266.75,118.4,44.6,95,20.39216,12,29.2348,18.85049,43.14364,0,0,0.4896341,0.1599132
10.132,0,13.501,1277.25,118.4,44.6,95,19.60784,12,29.2348,18.85003,43.1447,0,0,0.5170661,0.1688723
10.558,0,13.501,1267.25,118.4,44.6,95,20.39216,12,29.2348,18.8495,43.1459,0,0,0.5507277,0.1798662
10.918,0,13.501,1266.25,118.4,44.6,95,20.39216,12,29.2348,18.84904,43.14695,0,0,0.4869629,0.1590407
11.296,0,13.501,1275.5,118.4,44.6,95,20.39216,12,29.2348,18.84852,43.14814,0,0,0.4993583,0.1630891
11.644,0,13.501,1273.75,118.4,44.6,95,20,12,29.2348,18.84808,43.14916,0,0,0.5409715,0.1766798
12.131,0,13.501,1282.75,118.4,44.6,95,19.21569,12,29.2348,18.84762,43.1502,0,0,0.506457,0.1654074
12.493,0,13.501,1273.75,118.4,44.6,95,20.78431,12,29.2348,18.84716,43.15126,0,0,0.5365446,0.175234
12.964,0,13.501,1272.5,118.4,44.6,95,19.60784,12,29.2348,18.84657,43.1526,0,0,0.5214769,0.1703129
13.326,0,13.296,1265,118.4,44.6,96.8,20.78431,12,29.2348,18.84613,43.15362,0,0,0.4967327,0.1622315
13.801,0,13.296,1272.5,118.4,44.6,96.8,19.21569,12,29.2348,18.84555,43.15495,0,0,0.5161965,0.1685884
14.185,0,13.296,1279.25,118.4,44.6,96.8,19.60784,12,29.2348,18.8451,43.15598,0,0,0.5019836,0.1639465
14.548,0,13.296,1274.25,118.4,44.6,96.8,19.60784,12,29.2348,18.84457,43.15718,0,0,0.4949009,0.1616333
14.913,0,13.296,1268.5,118.4,44.6,96.8,19.60784,12,29.2348,18.84411,43.15824,0,0,0.5099359,0.1665437
15.337,0,13.296,1266.25,118.4,44.6,96.8,19.21569,12,29.2348,18.84362,43.15936,0,0,0.5391676,0.1760906
15.702,0,13.296,1267.75,118.4,44.6,96.8,19.60784,12,29.2348,18.84319,43.16035,0,0,0.527642,0.1723264
16.113,0,13.296,1281.5,118.4,44.6,96.8,20,12,29.2348,18.84266,43.16155,0,0,0.5161014,0.1685573
16.508,0,13.296,1284.5,118.4,44.6,96.8,20.39216,12,29.2348,18.8422,43.16262,0,0,0.5444461,0.1778146
17.105,0,13.296,1279.5,118.4,44.6,96.8,20,12,29.2348,18.84168,43.1638,0,0,0.5258391,0.1717376
17.625,0,13.452,1269.75,120.2,44.6,96.8,24.70588,15,29.2348,18.84122,43.16487,0,0,0.4983963,0.1627749
18.035,0,13.452,1312.75,120.2,44.6,96.8,23.13725,17,29.2348,18.84011,43.1674,0,0,0.6302987,0.2058538
18.412,0,13.452,1319,120.2,44.6,96.8,22.7451,17,29.2348,18.83957,43.16864,0,0,0.6010301,0.1962948
18.836,0,13.452,1311.75,120.2,44.6,96.8,22.35294,16,29.2348,18.83895,43.17007,0,0,0.6283737,0.2052251
19.199,0,13.452,1304.5,120.2,44.6,96.8,23.13725,16,29.2348,18.83834,43.17145,0,0,0.658647,0.2151123
19.657,0,13.452,1300,120.2,44.6,96.8,21.56863,15,29.2348,18.83776,43.17278,0,0,0.5541501,0.1809839
20.019,0,13.452,1294.75,120.2,44.6,96.8,20.78431,15,29.2348,18.83724,43.17398,0,0,0.6081675,0.1986258
20.461,0,13.452,1281.25,120.2,44.6,96.8,21.17647,15,29.2348,18.83669,43.17524,0,0,0.541757,0.1769363
20.840,0,13.452,1286,120.2,44.6,96.8,22.7451,16,29.2348,18.83614,43.17649,0,0,0.6373807,0.2081668
21.329,0,13.452,1279.25,120.2,44.6,96.8,21.96078,16,29.2348,18.8355,43.17797,0,0,0.6143642,0.2006497
21.724,0,13.384,1271,120.2,44.6,96.8,21.96078,15,29.2348,18.835,43.1791,0,0,0.5488219,0.1792437
22.232,0,13.384,1259.75,120.2,44.6,96.8,21.17647,15,29.2348,18.83433,43.18065,0,0,0.5638356,0.1841471
22.566,0,13.384,1255.25,120.2,44.6,96.8,20.39216,15,29.2348,18.83378,43.18192,0,0,0.5653279,0.1846346
22.977,0,13.384,1247,120.2,44.6,96.8,21.56863,15,29.2348,18.83318,43.1833,0,0,0.5290712,0.1727932
23.355,0,13.384,1242.25,120.2,44.6,96.8,21.56863,15,29.2348,18.83272,43.18435,0,0,0.5354946,0.1748911
23.795,0,13.384,1238.5,120.2,44.6,96.8,20.78431,15,29.2348,18.83219,43.18556,0,0,0.5593927,0.1826961
24.189,0,13.384,1252.75,120.2,44.6,96.8,22.7451,16,29.2348,18.8317,43.18669,0,0,0.5514266,0.1800944
24.566,0,13.384,1286.75,120.2,44.6,96.8,21.17647,15,29.2348,18.83113,43.18799,0,0,0.5638183,0.1841415
24.944,0,13.384,1366.75,120.2,44.6,96.8,20.39216,15,29.2348,18.83055,43.18933,0,0,0.6248528,0.2040752
