# StartTime = 12/07/2024 05:42:23.6265 PM
Time (sec), Vehicle speed (MPH), Control module voltage (V), Engine RPM (RPM), Engine coolant temperature (°F), Ambient air temperature (°F), Engine oil temperature (°F), Absolute load value (%), Actual engine - percent torque (%), Barometric pressure (inHg), Total fuel economy (MPG), Total CO2 (lbs), Instant CO2 rate (lb/mile), Instant fuel economy (MPG), Fuel rate (gal/hr), CO2 flow (lb/min)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.576,0,0,1210,0,0,0,45.88235,42,29.5301,17.10521,33.96222,0,0,1.095759,0.357872
1.102,0,13.994,1209.5,186.8,33.8,177.8,45.88235,41,29.5301,17.10401,33.9646,0,0,1.121242,0.3661946
1.522,0,13.994,1223,186.8,33.8,177.8,45.4902,41,29.5301,17.10183,33.96894,0,0,1.142331,0.3730823
1.918,0,13.994,1220.25,186.8,33.8,177.8,45.09804,41,29.5301,17.1004,33.97176,0,0,1.234597,0.4032159
2.331,0,13.994,1214.25,186.8,33.8,177.8,44.70588,41,29.5301,17.09915,33.97426,0,0,1.162542,0.379683
2.742,0,13.994,1215.5,186.8,33.8,177.8,45.88235,41,29.5301,17.09783,33.97689,0,0,1.201205,0.3923104
3.164,0,13.994,1208.5,186.8,33.8,177.8,45.88235,41,29.5301,17.09646,33.9796,0,0,1.121242,0.3661946
3.567,0,13.994,1198,186.8,33.8,177.8,45.09804,41,29.5301,17.09529,33.98193,0,0,1.106304,0.3613158
4.019,0,13.994,1207,186.8,33.8,177.8,45.09804,41,29.5301,17.09394,33.98462,0,0,1.129151,0.3687775
4.409,0,13.994,1203.5,186.8,33.8,177.8,44.31372,41,29.5301,17.09281,33.98687,0,0,1.092245,0.3567241
4.892,0,13.994,1193,186.8,33.8,177.8,45.88235,41,29.5301,17.09145,33.98956,0,0,1.114212,0.3638987
5.282,0,14.307,1209.25,186.8,33.8,177.8,44.31372,41,29.5301,17.0903,33.99185,0,0,1.078185,0.3521323
5.740,0,14.307,1203.75,186.8,33.8,177.8,43.92157,41,29.5301,17.08877,33.9949,0,0,1.099274,0.3590199
6.085,0,14.307,1203.5,186.8,33.8,177.8,45.88235,41,29.5301,17.08762,33.99718,0,0,1.095759,0.357872
6.465,0,14.307,1209.5,186.8,33.8,177.8,43.92157,41,29.5301,17.08626,33.99989,0,0,1.092245,0.3567241
6.831,0,14.307,1206.75,186.8,33.8,177.8,42.7451,40,29.5301,17.08529,34.00181,0,0,1.052702,0.3438097
7.286,0,14.307,1202.25,186.8,33.8,177.8,18.82353,28,29.5301,17.08464,34.00311,0,0,0.5966485,0.1948637
7.663,0,14.307,1160.25,186.8,33.8,177.8,20.39216,18,29.5301,17.08415,34.00409,0,0,0.4722013,0.1542197
8.074,0,14.307,1053.75,186.8,33.8,177.8,27.45098,19,29.5301,17.08346,34.00545,0,0,0.5543039,0.1810341
8.428,0,14.307,1047.5,186.8,33.8,177.8,26.27451,20,29.5301,17.08291,34.00655,0,0,0.5777364,0.1886871
9.055,0,14.307,1010.5,186.8,33.8,177.8,27.05882,19,29.5301,17.08224,34.00788,0,0,0.5781996,0.1888384
9.618,0,14.106,961.5,192.2,33.8,179.6,27.45098,20,29.5301,17.08176,34.00884,0,0,0.5327714,0.1740017
9.992,0,14.106,933,192.2,33.8,179.6,26.66667,19,29.5301,17.08061,34.01114,0,0,0.5300586,0.1731157
10.383,0,14.106,920.75,192.2,33.8,179.6,24.70588,18,29.5301,17.08007,34.01221,0,0,0.4786828,0.1563365
10.815,0,14.106,917.5,192.2,33.8,179.6,23.92157,17,29.5301,17.07963,34.01308,0,0,0.4109585,0.1342179
11.183,0,14.106,957,192.2,33.8,179.6,19.21569,14,29.5301,17.07924,34.01385,0,0,0.385922,0.1260411
11.529,0,14.106,966.75,192.2,33.8,179.6,20,13,29.5301,17.07876,34.01482,0,0,0.4169789,0.1361842
11.916,0,14.106,928.25,192.2,33.8,179.6,21.17647,13,29.5301,17.07836,34.01561,0,0,0.3972458,0.1297394
12.367,0,14.106,902.5,192.2,33.8,179.6,20.78431,13,29.5301,17.07794,34.01645,0,0,0.4270775,0.1394823
12.733,0,14.106,924,192.2,33.8,179.6,17.2549,10,29.5301,17.07761,34.01712,0,0,0.3031846,0.09901925
13.294,0,14.106,923,192.2,33.8,179.6,16.47059,9,29.5301,17.07727,34.01778,0,0,0.2825943,0.09229452
13.670,0,14.307,890.5,192.2,33.8,179.6,18.82353,9,29.5301,17.07692,34.01849,0,0,0.3434129,0.1121577
14.101,0,14.307,869,192.2,33.8,179.6,16.47059,9,29.5301,17.07644,34.01945,0,0,0.3185868,0.1040496
14.497,0,14.307,841.75,192.2,33.8,179.6,16.86275,8,29.5301,17.07614,34.02003,0,0,0.306091,0.09996848
14.906,0,14.307,826.25,192.2,33.8,179.6,16.47059,8,29.5301,17.07582,34.02067,0,0,0.2715309,0.08868124
15.252,0,14.307,799,192.2,33.8,179.6,17.64706,8,29.5301,17.07546,34.0214,0,0,0.3119315,0.101876
15.696,0,14.307,784,192.2,33.8,179.6,17.64706,9,29.5301,17.07519,34.02193,0,0,0.2484118,0.08113061
16.081,0,14.307,773.75,192.2,33.8,179.6,17.2549,9,29.5301,17.07495,34.0224,0,0,0.2448508,0.07996759
16.514,0,14.307,743.75,192.2,33.8,179.6,17.64706,9,29.5301,17.07462,34.02307,0,0,0.2659565,0.08686064
16.861,0,14.307,737.5,192.2,33.8,179.6,17.2549,9,29.5301,17.07434,34.02361,0,0,0.2659727,0.08686595
17.460,0,14.307,727.5,192.2,33.8,179.6,17.64706,9,29.5301,17.07403,34.02423,0,0,0.2791406,0.09116656
18.002,0,14.258,714.25,194,33.8,179.6,18.43137,9,29.5301,17.07372,34.02485,0,0,0.3116931,0.1017981
18.385,0,14.258,690,194,33.8,179.6,18.82353,10,29.5301,17.0733,34.02569,0,0,0.2157198,0.07045349
18.768,0,14.258,688.75,194,33.8,179.6,19.21569,10,29.5301,17.07297,34.02635,0,0,0.2861852,0.09346729
19.238,0,14.258,701.5,194,33.8,179.6,18.43137,10,29.5301,17.07272,34.02685,0,0,0.2324704,0.0759242
19.593,0,14.258,709.5,194,33.8,179.6,18.43137,10,29.5301,17.07248,34.02732,0,0,0.2315828,0.07563429
20.027,0,14.258,712.25,194,33.8,179.6,18.03922,10,29.5301,17.07215,34.02798,0,0,0.2659402,0.08685534
20.409,0,14.258,711.25,194,33.8,179.6,18.43137,10,29.5301,17.07189,34.0285,0,0,0.2395003,0.07822015
