# StartTime = 12/07/2024 05:02:19.3740 PM
Time (sec), Vehicle speed (MPH), Control module voltage (V), Engine RPM (RPM), Engine coolant temperature (°F), Ambient air temperature (°F), Engine oil temperature (°F), Absolute load value (%), Actual engine - percent torque (%), Barometric pressure (inHg), Total fuel economy (MPG), Total CO2 (lbs), Instant CO2 rate (lb/mile), Instant fuel economy (MPG), Fuel rate (gal/hr), CO2 flow (lb/min)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.758,0,13.989,1209,186.8,33.8,167,40,37,29.5301,15.78033,26.97389,0,0,1.014917,0.3314692
1.529,0,14.219,1201.5,186.8,33.8,168.8,41.56863,37,29.5301,15.77703,26.97953,0,0,1.014917,0.3314692
2.026,0,14.243,1190.75,186.8,33.8,168.8,41.56863,37,29.5301,15.77454,26.9838,0,0,1.042158,0.3403658
2.431,0,14.243,1213.5,186.8,33.8,168.8,42.35294,37,29.5301,15.77201,26.98812,0,0,1.045673,0.3415138
2.835,0,14.243,1208,186.8,33.8,168.8,40.78431,37,29.5301,15.77071,26.99035,0,0,1.028098,0.335774
3.249,0,14.243,1213.25,186.8,33.8,168.8,38.43137,37,29.5301,15.76943,26.99253,0,0,1.078185,0.3521323
3.587,0,14.243,1212.5,186.8,33.8,168.8,40,37,29.5301,15.76817,26.99469,0,0,1.000858,0.3268775
3.984,0,14.243,1206,186.8,33.8,168.8,41.56863,37,29.5301,15.76678,26.99707,0,0,1.035128,0.3380699
4.374,0,14.243,1190.25,186.8,33.8,168.8,41.56863,37,29.5301,15.76565,26.999,0,0,1.056217,0.3449576
4.777,0,14.243,1216.5,186.8,33.8,168.8,40.78431,37,29.5301,15.76425,27.0014,0,0,1.056217,0.3449576
5.131,0,14.243,1193.25,186.8,33.8,168.8,41.96078,37,29.5301,15.76305,27.00347,0,0,1.049187,0.3426617
5.613,0,14.243,1203.75,186.8,33.8,168.8,40,37,29.5301,15.76176,27.00568,0,0,1.007888,0.3291734
5.954,0,14.302,1196.75,186.8,33.8,168.8,39.60784,37,29.5301,15.76066,27.00756,0,0,0.9938282,0.3245816
6.426,0,14.302,1189.75,186.8,33.8,168.8,39.60784,37,29.5301,15.75897,27.01046,0,0,1.078185,0.3521323
6.814,0,14.302,1208.25,186.8,33.8,168.8,41.96078,37,29.5301,15.75772,27.01259,0,0,1.0817,0.3532802
7.185,0,14.302,1204.5,186.8,33.8,168.8,39.60784,37,29.5301,15.75623,27.01516,0,0,0.9973431,0.3257295
7.603,0,14.302,1200,186.8,33.8,168.8,41.17647,37,29.5301,15.75514,27.01703,0,0,0.9472563,0.3093713
8.019,0,14.302,1201.5,186.8,33.8,168.8,39.60784,37,29.5301,15.75388,27.01918,0,0,0.9797688,0.3199898
8.387,0,14.302,1201.25,186.8,33.8,168.8,40.39216,37,29.5301,15.7525,27.02155,0,0,1.028098,0.335774
8.786,0,14.302,1208,186.8,33.8,168.8,45.09804,38,29.5301,15.75119,27.0238,0,0,1.031613,0.336922
9.142,0,14.302,1215.75,186.8,33.8,168.8,44.70588,40,29.5301,15.74995,27.02592,0,0,1.15024,0.3756652
9.796,0,14.302,1195.5,186.8,33.8,168.8,47.05882,41,29.5301,15.74846,27.02848,0,0,1.15024,0.3756652
10.300,0,14.16,1203,190.4,33.8,168.8,43.92157,41,29.5301,15.74713,27.03076,0,0,1.110698,0.3627508
10.700,0,14.16,1201,190.4,33.8,168.8,45.88235,41,29.5301,15.74431,27.0356,0,0,1.154633,0.3771001
11.065,0,14.16,1197.25,190.4,33.8,168.8,45.4902,41,29.5301,15.74299,27.03787,0,0,1.078185,0.3521323
11.510,0,14.16,1190.75,190.4,33.8,168.8,44.70588,41,29.5301,15.74154,27.04036,0,0,1.133544,0.3702124
11.871,0,14.16,1198.5,190.4,33.8,168.8,46.66667,41,29.5301,15.74033,27.04244,0,0,1.102789,0.3601679
12.300,0,14.16,1187,190.4,33.8,168.8,45.4902,41,29.5301,15.73882,27.04503,0,0,1.102789,0.3601679
12.725,0,14.16,1185.75,190.4,33.8,168.8,45.09804,41,29.5301,15.73762,27.0471,0,0,1.017554,0.3323302
13.170,0,14.16,1197.5,190.4,33.8,168.8,46.27451,42,29.5301,15.73584,27.05015,0,0,1.158148,0.378248
13.515,0,14.16,1189.25,190.4,33.8,168.8,45.4902,41,29.5301,15.73446,27.05254,0,0,1.154633,0.3771001
14.045,0,14.16,1188.5,190.4,33.8,168.8,45.88235,41,29.5301,15.73292,27.05518,0,0,1.106304,0.3613158
14.430,0,14.248,1193.25,190.4,33.8,170.6,44.70588,41,29.5301,15.73166,27.05735,0,0,1.129151,0.3687775
14.815,0,14.248,1187.5,190.4,33.8,170.6,46.27451,41,29.5301,15.72984,27.06047,0,0,1.085215,0.3544282
15.196,0,14.248,1199.25,190.4,33.8,170.6,45.09804,41,29.5301,15.72854,27.06271,0,0,1.095759,0.357872
15.654,0,14.248,1197.5,190.4,33.8,170.6,43.13726,41,29.5301,15.72706,27.06526,0,0,1.162542,0.379683
15.991,0,14.248,1170.75,190.4,33.8,170.6,45.88235,41,29.5301,15.72561,27.06776,0,0,1.183631,0.3865706
16.490,0,14.248,1187.5,190.4,33.8,170.6,46.27451,41,29.5301,15.72412,27.07033,0,0,1.106304,0.3613158
16.937,0,14.248,1198.75,190.4,33.8,170.6,42.35294,41,29.5301,15.72284,27.07252,0,0,1.125636,0.3676295
17.323,0,14.248,1196,190.4,33.8,170.6,46.27451,42,29.5301,15.72105,27.0756,0,0,1.099274,0.3590199
