# StartTime = 12/07/2024 02:35:30.2580 PM
Time (sec), Vehicle speed (MPH), Control module voltage (V), Engine RPM (RPM), Engine coolant temperature (°F), Ambient air temperature (°F), Engine oil temperature (°F), Absolute load value (%), Actual engine - percent torque (%), Barometric pressure (inHg), Total fuel economy (MPG), Total CO2 (lbs), Instant CO2 rate (lb/mile), Instant fuel economy (MPG), Fuel rate (gal/hr), CO2 flow (lb/min)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.749,0,14.307,772.25,192.2,33.8,188.6,20,12,29.8254,9.716074,11.45153,0,0,0.349015,0.1139873
1.246,0,14.248,755.5,192.2,33.8,188.6,18.82353,11,29.8254,9.714503,11.45339,0,0,0.3366658,0.1099541
1.645,0,14.248,725,192.2,33.8,188.6,19.60784,11,29.8254,9.713618,11.45443,0,0,0.2537592,0.08287706
2.031,0,14.248,709.25,192.2,33.8,188.6,20.39216,12,29.8254,9.713072,11.45507,0,0,0.3312562,0.1081874
2.495,0,14.248,683,192.2,33.8,188.6,21.56863,13,29.8254,9.712426,11.45583,0,0,0.3374026,0.1101948
2.852,0,14.248,687.25,192.2,33.8,188.6,21.96078,14,29.8254,9.711947,11.4564,0,0,0.2651893,0.08661009
3.229,0,14.248,705.25,192.2,33.8,188.6,20.39216,13,29.8254,9.711226,11.45725,0,0,0.3489403,0.1139629
3.611,0,14.248,712.25,192.2,33.8,188.6,20,13,29.8254,9.710678,11.4579,0,0,0.3392164,0.1107871
4.071,0,14.248,717,192.2,33.8,188.6,19.60784,12,29.8254,9.710072,11.45861,0,0,0.3206842,0.1047346
4.450,0,14.248,710.25,192.2,33.8,188.6,20.39216,12,29.8254,9.709575,11.4592,0,0,0.2713399,0.08861886
4.890,0,14.248,700.25,192.2,33.8,188.6,21.17647,12,29.8254,9.708972,11.45991,0,0,0.3092028,0.1009848
5.301,0,14.331,693.25,192.2,33.8,188.6,21.56863,13,29.8254,9.708441,11.46054,0,0,0.3039452,0.09926767
5.784,0,14.331,702.5,192.2,33.8,188.6,20.78431,13,29.8254,9.707735,11.46137,0,0,0.3339196,0.1090572
6.164,0,14.331,705,192.2,33.8,188.6,20,13,29.8254,9.707105,11.46211,0,0,0.3339196,0.1090572
6.565,0,14.331,709.75,192.2,33.8,188.6,20.39216,13,29.8254,9.70647,11.46286,0,0,0.291638,0.09524816
6.957,0,14.331,707,192.2,33.8,188.6,20.39216,13,29.8254,9.70595,11.46348,0,0,0.2748806,0.08977525
7.424,0,14.331,702.25,192.2,33.8,188.6,20,13,29.8254,9.705486,11.46403,0,0,0.2801582,0.0914989
