# StartTime = 12/06/2024 08:00:40.0453 AM
Time (sec), Vehicle speed (MPH), Control module voltage (V), Engine RPM (RPM), Engine coolant temperature (°F)
0.000,0,0,0,0
0.310,0,0,705,0
0.548,0,14.458,710,190.4
0.762,0,14.458,701,190.4
0.982,0,14.458,705.75,190.4
1.239,0,14.458,700.75,190.4
1.468,0,14.458,705.25,190.4
1.708,0,14.458,703,190.4
1.929,0,14.458,706.25,190.4
2.175,0,14.458,697.5,190.4
2.413,0,14.458,694,190.4
2.709,0,14.458,706.75,190.4
2.931,0,14.409,705.25,190.4
3.198,0,14.409,699.25,190.4
3.411,0,14.409,700.5,190.4
3.609,0,14.409,708.75,190.4
3.816,0,14.409,705.25,190.4
4.071,0,14.409,708,190.4
4.309,0,14.409,700.25,190.4
4.541,0,14.409,704.75,190.4
4.764,0,14.409,702.5,190.4
5.141,0,14.409,705.25,190.4
5.355,0,14.414,701.75,190.4
5.577,0,14.414,705.75,190.4
5.783,0,14.414,702.75,190.4
5.989,0,14.414,699.5,190.4
6.236,0,14.414,700.75,190.4
6.492,0,14.414,705,190.4
6.721,0,14.414,702,190.4
6.984,0,14.414,709.25,190.4
7.205,0,14.414,698.25,190.4
7.543,0,14.414,710.75,190.4
7.788,0,14.434,703.25,190.4
8.050,0,14.434,706.25,190.4
8.279,0,14.434,708,190.4
8.511,0,14.434,703.75,190.4
8.742,0,14.434,701.5,190.4
8.988,0,14.434,703,190.4
9.184,0,14.434,706,190.4
9.399,0,14.434,705.75,190.4
9.612,0,14.434,704.5,190.4
9.981,0,14.434,701.25,190.4
10.213,0,14.487,705.5,190.4
10.420,0,14.487,699.75,190.4
10.601,0,14.487,704,190.4
10.872,0,14.487,704,190.4
11.095,0,14.487,706.75,190.4
11.341,0,14.487,704.25,190.4
11.571,0,14.487,708.5,190.4
11.827,0,14.487,705.75,190.4
12.023,0,14.487,699.5,190.4
12.303,0,14.487,706,190.4
12.484,0,14.185,704.25,190.4
12.764,0,14.185,708.5,190.4
12.986,0,14.185,704,190.4
13.239,0,14.185,704,190.4
13.436,0,14.185,700.25,190.4
13.698,0,14.185,698.75,190.4
13.911,0,14.185,701.75,190.4
14.190,0,14.185,700.75,190.4
14.411,0,14.185,711,190.4
14.781,0,14.185,711,190.4
14.969,0,14.468,708.25,190.4
15.174,0,14.468,707.75,190.4
15.395,0,14.468,703.25,190.4
15.600,0,14.468,706.75,190.4
15.789,0,14.468,707,190.4
16.020,0,14.468,708.25,190.4
16.234,0,14.468,702.25,190.4
16.537,0,14.468,704.5,190.4
16.743,0,14.468,702.5,190.4
17.022,0,14.468,706.5,190.4
17.252,0,14.453,704,190.4
17.493,0,14.453,704.75,190.4
17.686,0,14.453,704.75,190.4
17.974,0,14.453,695.5,190.4
