# StartTime = 12/06/2024 08:00:40.0453 AM
Time (sec), Vehicle speed (MPH), Control module voltage (V), Engine RPM (RPM), Engine coolant temperature (°F)
18.196,0,14.453,702.75,190.4
18.451,0,14.453,699.5,190.4
18.663,0,14.453,708,190.4
18.918,0,14.453,698.5,190.4
19.130,0,14.453,705.75,190.4
19.508,0,14.453,707.5,190.4
19.740,0,14.419,701.25,190.4
19.978,0,14.419,702,190.4
20.191,0,14.419,704.75,190.4
20.429,0,14.419,710.25,190.4
20.674,0,14.419,700.25,190.4
20.921,0,14.419,698.25,190.4
21.134,0,14.419,703.75,190.4
21.380,0,14.419,705,190.4
21.576,0,14.419,707,190.4
21.823,0,14.419,703.5,190.4
22.012,0,14.463,699.25,190.4
22.218,0,14.463,702.75,190.4
22.431,0,14.463,705,190.4
22.604,0,14.463,709,190.4
22.826,0,14.463,706.25,190.4
23.089,0,14.463,704.75,190.4
23.310,0,14.463,701.5,190.4
23.573,0,14.463,703.5,190.4
23.779,0,14.463,709,190.4
24.124,0,14.463,703.75,190.4
24.337,0,14.16,711.5,190.4
24.575,0,14.16,707.75,190.4
24.796,0,14.16,706.5,190.4
25.006,0,14.16,702,190.4
25.217,0,14.16,707.25,190.4
25.479,0,14.16,696.5,190.4
25.678,0,14.16,702,190.4
25.932,0,14.16,702.5,190.4
26.155,0,14.16,698.5,190.4
26.468,0,14.16,706.75,190.4
26.696,0,14.536,706.75,190.4
26.941,0,14.536,708,190.4
27.131,0,14.536,699.5,190.4
27.410,0,14.536,705,190.4
27.642,0,14.536,707.25,190.4
27.881,0,14.536,698.5,190.4
28.119,0,14.536,706.5,190.4
28.359,0,14.536,703,190.4
28.589,0,14.536,702.5,190.4
28.951,0,14.536,696.75,190.4
29.141,0,14.385,709.25,190.4
29.419,0,14.385,711.5,190.4
29.649,0,14.385,712.25,190.4
29.896,0,14.385,700,190.4
30.094,0,14.385,700.75,190.4
30.324,0,14.385,699,190.4
30.570,0,14.385,701.75,190.4
30.825,0,14.385,711,190.4
31.071,0,14.385,706.25,190.4
31.342,0,14.385,710,190.4
31.548,0,14.375,701.75,190.4
31.776,0,14.375,705,190.4
31.974,0,14.375,705.25,190.4
32.212,0,14.375,703.5,190.4
32.425,0,14.375,708.25,190.4
32.671,0,14.375,706.75,190.4
32.876,0,14.375,705.75,190.4
33.081,0,14.375,708.25,190.4
33.310,0,14.375,710.75,190.4
33.664,0,14.375,700.75,190.4
33.902,0,14.453,706.5,190.4
34.148,0,14.453,705.5,190.4
34.344,0,14.453,703.5,190.4
34.616,0,14.453,704.25,190.4
34.835,0,14.453,702.5,190.4
35.090,0,14.453,700.75,190.4
35.286,0,14.453,703.5,190.4
35.549,0,14.453,708.75,190.4
35.788,0,14.453,704.25,190.4
36.099,0,14.453,710.75,190.4
36.338,0,14.429,705,190.4
36.560,0,14.429,703.75,190.4
36.765,0,14.429,706.5,190.4
37.019,0,14.429,709.25,190.4
37.241,0,14.429,706.5,190.4
37.470,0,14.429,705.75,190.4
37.733,0,14.429,698.75,190.4
37.989,0,14.429,704.75,190.4
38.201,0,14.429,711,190.4
38.563,0,14.429,594.75,190.4
38.775,0,13.374,233.25,190.4
39.005,0,13.374,233.25,190.4
39.211,0,13.374,0,190.4
39.457,0,13.374,0,190.4
39.663,0,13.374,0,190.4
39.918,0,13.374,0,190.4
40.083,0,13.374,0,190.4
40.289,0,13.374,0,190.4
