# StartTime = 12/07/2024 01:10:21.3391 PM
Time (sec), Vehicle speed (MPH), Control module voltage (V), Engine RPM (RPM), Engine coolant temperature (°F), Ambient air temperature (°F), Engine oil temperature (°F), Absolute load value (%), Actual engine - percent torque (%), Barometric pressure (inHg), Total fuel economy (MPG), Total CO2 (lbs), Instant CO2 rate (lb/mile), Instant fuel economy (MPG), Fuel rate (gal/hr), CO2 flow (lb/min)
18.063,0,14.351,1267,122,33.8,91.4,20.78431,14,29.5301,0,1.165458,0,0,0.5566518,0.181801
18.443,0,14.351,1263.25,122,33.8,91.4,21.17647,14,29.5301,0,1.166529,0,0,0.5548478,0.1812118
18.887,0,14.351,1257,122,33.8,91.4,20.78431,14,29.5301,0,1.167861,0,0,0.5724936,0.1869748
19.281,0,14.351,1257,122,33.8,91.4,21.17647,14,29.5301,0,1.169044,0,0,0.5618754,0.183507
19.701,0,14.351,1253,122,33.8,91.4,20.78431,14,29.5301,0,1.17033,0,0,0.5450801,0.1780217
20.059,0,14.351,1239,122,33.8,91.4,21.17647,14,29.5301,0,1.171566,0,0,0.5556474,0.1814729
20.531,0,14.351,1236.5,122,33.8,91.4,21.56863,14,29.5301,0,1.172783,0,0,0.5282027,0.1725096
20.919,0,14.351,1226.75,122,33.8,91.4,21.96078,15,29.5301,0,1.173847,0,0,0.5468331,0.1785942
21.399,0,14.351,1233.5,122,33.8,91.4,21.96078,15,29.5301,0,1.175223,0,0,0.5380673,0.1757313
21.746,0,14.38,1256.5,122,33.8,91.4,20.78431,14,29.5301,0,1.176368,0,0,0.534511,0.1745698
22.181,0,14.38,1255.25,122,33.8,91.4,20.78431,14,29.5301,0,1.177721,0,0,0.5415573,0.1768711
22.570,0,14.38,1256.25,122,33.8,91.4,20.39216,13,29.5301,0,1.178668,0,0,0.5361985,0.1751209
22.974,0,14.38,1227.75,122,33.8,91.4,21.17647,14,29.5301,0,1.18001,0,0,0.5247765,0.1713905
23.364,0,14.38,1231,122,33.8,91.4,20.78431,14,29.5301,0,1.181116,0,0,0.5573827,0.1820397
23.801,0,14.38,1219.5,122,33.8,91.4,21.17647,14,29.5301,0,1.182326,0,0,0.5202398,0.1699089
24.196,0,14.38,1225,122,33.8,91.4,21.17647,14,29.5301,0,1.183504,0,0,0.5556303,0.1814673
24.566,0,14.38,1222.75,122,33.8,91.4,20.78431,14,29.5301,0,1.184837,0,0,0.5477179,0.1788832
24.964,0,14.38,1220.75,122,33.8,91.4,20.78431,14,29.5301,0,1.186041,0,0,0.5609389,0.1832011
25.543,0,14.38,1242,122,33.8,91.4,20.78431,14,29.5301,0,1.187042,0,0,0.5317254,0.1736601
26.048,0,14.341,1216.75,123.8,33.8,93.2,21.56863,14,29.5301,0,1.188161,0,0,0.5211086,0.1701926
26.452,0,14.341,1216.25,123.8,33.8,93.2,21.56863,14,29.5301,0,1.190354,0,0,0.5564809,0.1817451
26.872,0,14.341,1224.25,123.8,33.8,93.2,21.17647,14,29.5301,0,1.191489,0,0,0.5272694,0.1722047
27.342,0,14.341,1216.5,123.8,33.8,93.2,21.17647,14,29.5301,0,1.192593,0,0,0.5370338,0.1753938
27.707,0,14.341,1223,123.8,33.8,93.2,21.17647,14,29.5301,0,1.193902,0,0,0.5167325,0.1687634
28.109,0,14.341,1215,123.8,33.8,93.2,20.39216,14,29.5301,0,1.195094,0,0,0.5228781,0.1707705
28.500,0,14.341,1210.5,123.8,33.8,93.2,21.17647,14,29.5301,0,1.196185,0,0,0.5378855,0.1756719
28.984,0,14.341,1196.75,123.8,33.8,93.2,20.78431,14,29.5301,0,1.197271,0,0,0.5139992,0.1678707
29.367,0,14.341,1209.5,123.8,33.8,93.2,21.17647,14,29.5301,0,1.198526,0,0,0.5652585,0.1846119
29.869,0,14.341,1203.25,123.8,33.8,93.2,21.17647,14,29.5301,0,1.199863,0,0,0.5113451,0.1670039
